"","X","ticker","company","sector","industry","esgRating","esgScore.tot","esgScore.env","esgScore.soc","esgScore.gov","esgRank.tot","asOf","mktCap","Price","Price.Earnings","Dividend.Yield","Earnings.Share","X52.Week.Low","X52.Week.High","Market.Cap","EBITDA","Price.Sales","Price.Book","SEC.Filings"
"42",58,"AVB","AvalonBay Communities","Real Estate","Residential REITs","Negligible",12,3,3,5,0.03,"2021-03-03",24866502656,154.94,17.97,3.7149355,6.36,199.52,156.01,21856547430,1331579000,10.251216,2.12,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB"
"43",59,"AVY","Avery Dennison Corp","Materials","Paper Packaging","Negligible",18,12,2,4,0.16,"2021-03-03",14699618304,110.77,22.11,1.5682175,3.11,123.67,78.471,10104814319,831200000,1.5206499,8.83,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY"
"44",61,"BLL","Ball Corp","Materials","Metal & Glass Containers","Negligible",15,10,1,4,0.08,"2021-03-03",28316495872,38.44,20.56,1.0170354,0.85,43.24,35.6,13767688518,1.317e+09,1.5696399,3.62,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL"
"45",67,"BBY","Best Buy Co. Inc.","Consumer Discretionary","Computer & Electronics Retail","Negligible",12,2,5,5,0.03,"2021-03-03",26547040256,68.79,19.22,1.9085041,3.81,78.59,41.67,20831186176,2.555e+09,0.76715523,4.79,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY"
"46",71,"BA","Boeing Company","Industrials","Aerospace & Defense","Severe",36,8,20,9,0.77,"2021-03-03",130089951232,329.66,27.29,1.9648397,13.47,361.45,163.69,205617405233,1.2476e+10,2.1560605,182.86,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA"
"47",74,"BXP","Boston Properties","Real Estate","Office REITs","Negligible",14,4,5,5,0.06,"2021-03-03",15797170176,112.09,18.05,2.7744062,2.93,140.13,111.87,17799878487,1546846000,6.839459,3.15,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP"
"48",75,"BSX","Boston Scientific","Health Care","Health Care Equipment","Severe",31,3,16,11,0.6,"2021-03-03",54892687360,25.2,20,0,0.07,29.93,23.29,36142506007,1.726e+09,4.055685,4.78,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX"
"49",82,"CDNS","Cadence Design Systems","Information Technology","Application Software","Negligible",17,1,10,5,0.12,"2021-03-03",39656153088,36.82,34.09,0,0.74,46,29.01,10890625200,455607000,5.751737,10.98,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS"
"50",85,"CAH","Cardinal Health Inc.","Health Care","Health Care Distributors","Negligible",13,3,5,4,0.04,"2021-03-03",15555594240,66.63,12.29,2.8394227,4.04,84.88,54.66,20493281175,1.913e+09,0.21131156,3.03,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH"
"51",86,"KMX","Carmax Inc","Consumer Discretionary","Specialty Stores","Negligible",13,0,9,4,0.04,"2021-03-03",19664209920,64.34,19.44,0,3.97,77.64,54.29,11827453706,1339628000,0.6913859,3.55,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX"
