"","ticker","company","sector","industry","esgRating","esgScore.tot","esgScore.env","esgScore.soc","esgScore.gov","esgRank.tot","esgRank.env","esgRank.soc","esgRank.gov","conRating","conLevel","conAreas","asOf","mktCap"
"254","INTU","Intuit Inc.","Information Technology","Application Software","Negligible",17,1,10,6,0.11,NA,NA,NA,NA,NA,NA,2021-03-03,110015217664
"255","ISRG","Intuitive Surgical Inc.","Health Care","Health Care Equipment","Severe",30,5,14,11,0.58,NA,NA,NA,NA,NA,NA,2021-03-03,88288501760
"256","IVZ","Invesco Ltd.","Financials","Asset Management & Custody Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10994775040
"257","IPGP","IPG Photonics Corp.","Information Technology","Electronic Manufacturing Services","Negligible",13,3,4,6,0.05,NA,NA,NA,NA,NA,NA,2021-03-03,11808976896
"258","IQV","IQVIA Holdings Inc.","Health Care","Life Sciences Tools & Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36961173504
"259","IRM","Iron Mountain Incorporated","Real Estate","Specialized REITs","Negligible",15,5,4,5,0.08,NA,NA,NA,NA,NA,NA,2021-03-03,10140881920
"260","JKHY","Jack Henry & Associates","Information Technology","Data Processing & Outsourced Services","Negligible",16,1,10,5,0.1,NA,NA,NA,NA,NA,NA,2021-03-03,11538642944
"261","J","Jacobs Engineering Group","Industrials","Construction & Engineering","Severe",34,6,18,9,0.71,NA,NA,NA,NA,NA,NA,2021-03-03,14901351424
"262","JBHT","J. B. Hunt Transport Services","Industrials","Trucking","Negligible",15,4,6,5,0.08,NA,NA,NA,NA,NA,NA,2021-03-03,15932914688
"263","SJM","JM Smucker","Consumer Staples","Packaged Foods & Meats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12386505728
"264","JNJ","Johnson & Johnson","Health Care","Pharmaceuticals","Severe",30,1,20,10,0.59,NA,NA,NA,NA,NA,NA,2021-03-03,418012692480
"265","JCI","Johnson Controls International","Industrials","Building Products","Negligible",18,9,3,6,0.14,NA,NA,NA,NA,NA,NA,2021-03-03,41270415360
"266","JPM","JPMorgan Chase & Co.","Financials","Diversified Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457756999680
"267","JNPR","Juniper Networks","Information Technology","Communications Equipment","Negligible",16,0,9,6,0.1,NA,NA,NA,NA,NA,NA,2021-03-03,7810493440
"268","KSU","Kansas City Southern","Industrials","Railroads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19090757632
"269","K","Kellogg Co.","Consumer Staples","Packaged Foods & Meats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19684259840
"270","KEY","KeyCorp","Financials","Regional Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20006029312
"271","KEYS","Keysight Technologies","Information Technology","Electronic Equipment & Instruments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26379407360
"272","KMB","Kimberly-Clark","Consumer Staples","Household Products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43692945408
"273","KIM","Kimco Realty","Real Estate","Retail REITs","Negligible",14,4,4,5,0.06,NA,NA,NA,NA,NA,NA,2021-03-03,7848785920
"274","KMI","Kinder Morgan","Energy","Oil & Gas Storage & Transportation","Negligible",18,9,6,4,0.16,NA,NA,NA,NA,NA,NA,2021-03-03,34170552320
"275","KLAC","KLA Corporation","Information Technology","Semiconductor Equipment","Negligible",20,7,7,6,0.19,NA,NA,NA,NA,NA,NA,2021-03-03,47735521280
"276","KHC","Kraft Heinz Co","Consumer Staples","Packaged Foods & Meats","Severe",33,12,14,7,0.69,NA,NA,NA,NA,NA,NA,2021-03-03,45649080320
"277","KR","Kroger Co.","Consumer Staples","Food Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24789458944
"278","LB","L Brands Inc.","Consumer Discretionary","Apparel Retail","Negligible",16,2,8,6,0.1,NA,NA,NA,NA,NA,NA,2021-03-03,15524043776
"279","LHX","L3Harris Technologies","Industrials","Aerospace & Defense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39080833024
"280","LH","Laboratory Corp. of America Holding","Health Care","Health Care Services","Negligible",15,1,8,7,0.08,NA,NA,NA,NA,NA,NA,2021-03-03,23780239360
"281","LRCX","Lam Research","Information Technology","Semiconductor Equipment","Negligible",17,5,6,6,0.12,NA,NA,NA,NA,NA,NA,2021-03-03,81937727488
"282","LW","Lamb Weston Holdings Inc","Consumer Staples","Packaged Foods & Meats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11904516096
"283","LVS","Las Vegas Sands","Consumer Discretionary","Casinos & Gaming","Negligible",19,2,8,9,0.17,NA,NA,NA,NA,NA,NA,2021-03-03,49611599872
"284","LEG","Leggett & Platt","Consumer Discretionary","Home Furnishings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5973775872
